Year,CoC Number,"Total Year-Round Beds (ES, TH, SH)",Total Year-Round Beds (ES),Total Year-Round Beds (SH),Total Year-Round Beds (TH)
2018,AK-500,1028.0,749,0.0,279
2018,NY-512,150.0,110,0.0,40
2018,NY-510,40.0,21,0.0,19
2018,NY-508,1055.0,695,16.0,344
2018,NY-507,227.0,178,0.0,49
2018,NY-505,759.0,557,0.0,202
2018,NY-504,50.0,50,0.0,0
2018,NY-503,456.0,304,0.0,152
2018,NY-501,147.0,79,0.0,68
2018,NY-500,700.0,555,12.0,133
2018,NV-502,248.0,218,0.0,30
2018,NV-501,902.0,228,190.0,484
2018,NV-500,1883.0,1290,25.0,568
2018,NM-501,882.0,727,0.0,155
2018,NM-500,769.0,384,0.0,385
2018,NJ-516,298.0,133,0.0,165
2018,NJ-515,290.0,165,0.0,125
2018,NJ-514,394.0,282,0.0,112
2018,NJ-513,294.0,105,0.0,189
2018,NJ-512,58.0,29,0.0,29
2018,NJ-511,371.0,320,0.0,51
2018,NJ-510,127.0,67,0.0,60
2018,NJ-509,295.0,132,20.0,143
2018,NY-511,180.0,126,0.0,54
2018,NY-513,203.0,64,15.0,124
2018,NJ-507,191.0,162,0.0,29
2018,NY-514,166.0,85,0.0,81
2018,OH-506,517.0,285,22.0,210
2018,OH-505,535.0,401,0.0,134
2018,OH-504,193.0,176,0.0,17
2018,OH-503,1204.0,1098,0.0,106
2018,OH-502,1570.0,1417,40.0,113
2018,OH-501,774.0,615,12.0,147
2018,OH-500,1012.0,701,15.0,296
2018,NY-608,119.0,89,0.0,30
2018,NY-607,112.0,112,0.0,0
2018,NY-606,88.0,38,0.0,50
2018,NY-604,1714.0,1023,0.0,691
2018,NY-603,2941.0,2757,12.0,172
2018,NY-602,286.0,232,0.0,54
2018,NY-601,427.0,233,0.0,194
2018,NY-600,77624.0,74543,40.0,3041
2018,NY-523,110.0,78,0.0,32
2018,NY-522,79.0,17,0.0,62
2018,NY-520,19.0,5,0.0,14
2018,NY-519,35.0,25,0.0,10
2018,NY-518,180.0,128,0.0,52
2018,NY-516,196.0,188,0.0,8
2018,NJ-508,266.0,109,0.0,157
2018,NJ-506,378.0,346,0.0,32
2018,OK-500,208.0,143,0.0,65
2018,MT-500,1376.0,1039,0.0,337
2018,MS-501,471.0,362,0.0,109
2018,MS-500,486.0,223,0.0,263
2018,MP-500,30.0,30,0.0,0
2018,MO-606,1481.0,1151,8.0,322
2018,MO-604,1818.0,1148,25.0,645
2018,MO-603,171.0,76,18.0,77
2018,MO-602,305.0,222,0.0,83
2018,MO-600,404.0,363,0.0,41
2018,MO-503,279.0,139,0.0,140
2018,MO-501,911.0,507,0.0,404
2018,MO-500,404.0,167,0.0,237
2018,MN-511,84.0,49,0.0,35
2018,MN-509,377.0,204,0.0,173
2018,MN-508,197.0,91,0.0,106
2018,MN-506,288.0,108,0.0,180
2018,MN-505,478.0,220,0.0,258
2018,MN-504,72.0,26,0.0,46
2018,MN-503,408.0,296,0.0,112
2018,MN-502,522.0,195,0.0,327
2018,MN-501,1468.0,859,0.0,609
2018,MN-500,2766.0,1954,18.0,794
2018,MS-503,122.0,64,0.0,58
2018,NC-500,433.0,349,0.0,84
2018,NJ-504,2252.0,1575,0.0,677
2018,NC-501,463.0,237,0.0,226
2018,NJ-503,769.0,487,0.0,282
2018,NJ-502,380.0,269,0.0,111
2018,NJ-501,368.0,156,0.0,212
2018,NJ-500,368.0,287,0.0,81
2018,NH-502,300.0,104,5.0,191
2018,NH-501,412.0,206,4.0,202
2018,NH-500,637.0,509,0.0,128
2018,NE-502,413.0,331,0.0,82
2018,NE-501,1256.0,821,0.0,435
2018,NE-500,721.0,534,0.0,187
2018,ND-500,726.0,455,10.0,261
2018,NC-516,121.0,90,0.0,31
2018,NC-513,91.0,39,0.0,52
2018,NC-511,175.0,84,0.0,91
2018,NC-509,279.0,214,0.0,65
2018,NC-507,733.0,518,0.0,215
2018,NC-506,380.0,262,0.0,118
2018,NC-505,1332.0,957,0.0,375
2018,NC-504,531.0,427,0.0,104
2018,NC-503,3110.0,2526,0.0,584
2018,NC-502,315.0,262,0.0,53
2018,OH-508,260.0,246,0.0,14
2018,OK-501,727.0,479,25.0,223
2018,MI-519,266.0,141,0.0,125
2018,VA-601,768.0,494,0.0,274
2018,VA-521,775.0,607,0.0,168
2018,VA-514,163.0,163,0.0,0
2018,VA-513,338.0,319,0.0,19
2018,VA-508,146.0,146,0.0,0
2018,VA-507,84.0,55,0.0,29
2018,VA-505,363.0,250,0.0,113
2018,VA-504,114.0,92,0.0,22
2018,VA-503,128.0,112,0.0,16
2018,VA-502,488.0,488,0.0,0
2018,VA-501,629.0,476,0.0,153
2018,VA-500,493.0,362,28.0,103
2018,UT-504,161.0,97,0.0,64
2018,UT-503,949.0,797,0.0,152
2018,UT-500,1858.0,1493,0.0,365
2018,TX-701,158.0,158,0.0,0
2018,TX-700,3064.0,1902,32.0,1130
2018,TX-624,402.0,402,0.0,0
2018,TX-611,701.0,596,0.0,105
2018,TX-607,4651.0,3682,0.0,969
2018,TX-604,194.0,145,1.0,48
2018,TX-603,1088.0,844,0.0,244
2018,VA-600,194.0,180,0.0,14
2018,VA-602,117.0,87,0.0,30
2018,TX-600,3109.0,2126,41.0,942
2018,VA-603,205.0,145,12.0,48
2018,AK-501,912.0,649,0.0,263
2018,Total,389622.0,286203,2390.0,101029
2018,WY-500,560.0,345,0.0,215
2018,WV-508,901.0,773,0.0,128
2018,WV-503,310.0,255,0.0,55
2018,WV-501,275.0,197,14.0,64
2018,WV-500,107.0,67,0.0,40
2018,WI-503,519.0,344,14.0,161
2018,WI-502,254.0,192,0.0,62
2018,WI-501,939.0,772,47.0,120
2018,WI-500,3009.0,1882,7.0,1120
2018,WA-508,398.0,180,0.0,218
2018,WA-504,586.0,475,0.0,111
2018,WA-503,917.0,756,0.0,161
2018,WA-502,998.0,720,0.0,278
2018,WA-501,5647.0,3519,0.0,2128
2018,WA-500,6470.0,3842,50.0,2578
2018,VT-501,217.0,143,0.0,74
2018,VT-500,720.0,532,0.0,188
2018,VI-500,205.0,154,0.0,51
2018,VA-604,298.0,208,0.0,90
2018,TX-601,1745.0,1580,20.0,145
2018,TX-503,1131.0,785,15.0,331
2018,OK-502,1129.0,959,0.0,170
2018,PA-511,363.0,98,0.0,265
2018,PA-509,2035.0,1279,0.0,756
2018,PA-508,143.0,56,11.0,76
2018,PA-506,506.0,236,0.0,270
2018,PA-505,586.0,189,0.0,397
2018,PA-504,273.0,198,0.0,75
2018,PA-503,225.0,107,0.0,118
2018,PA-502,404.0,315,0.0,89
2018,PA-501,410.0,205,25.0,180
2018,PA-500,4928.0,3429,255.0,1244
2018,OR-507,45.0,6,0.0,39
2018,OR-506,227.0,97,10.0,120
2018,OR-505,2660.0,1495,0.0,1165
2018,OR-503,304.0,253,0.0,51
2018,OR-502,348.0,171,0.0,177
2018,OR-501,2329.0,1742,0.0,587
2018,OR-500,506.0,410,0.0,96
2018,OK-507,373.0,360,0.0,13
2018,OK-506,304.0,232,0.0,72
2018,OK-505,392.0,339,0.0,53
2018,OK-504,119.0,53,0.0,66
2018,OK-503,87.0,81,0.0,6
2018,PA-510,368.0,224,0.0,144
2018,PA-512,388.0,215,0.0,173
2018,TX-500,1763.0,1267,0.0,496
2018,PA-600,701.0,509,6.0,186
2018,TN-512,320.0,232,0.0,88
2018,TN-510,212.0,150,0.0,62
2018,TN-509,523.0,403,0.0,120
2018,TN-507,107.0,54,8.0,45
2018,TN-506,290.0,257,0.0,33
2018,TN-504,1950.0,1431,5.0,514
2018,TN-503,296.0,182,0.0,114
2018,TN-502,643.0,390,0.0,253
2018,TN-501,1103.0,465,0.0,638
2018,TN-500,230.0,222,0.0,8
2018,SD-500,1090.0,990,0.0,100
2018,SC-503,469.0,381,0.0,88
2018,SC-502,1135.0,663,0.0,472
2018,SC-501,1047.0,848,12.0,187
2018,SC-500,350.0,254,5.0,91
2018,RI-500,1003.0,662,0.0,341
2018,PR-503,342.0,255,10.0,77
2018,PR-502,613.0,200,12.0,401
2018,PA-605,392.0,247,0.0,145
2018,PA-603,139.0,101,0.0,38
